	Name	shannon	evenness	observed	Group	Study
194	ALH57	7.118946474	0.810688402	440	LA	Study1
195	ALH58	6.701244285	0.774295333	403	LA	Study1
196	ALH59	7.317562514	0.815903041	501	LA	Study1
197	ALH6	6.921301726	0.783582917	456	LA	Study1
198	ALH60	5.9880105	0.743866231	265	LA	Study1
199	ALH61	6.525848018	0.756238073	396	LA	Study1
200	ALH62	6.929237445	0.798996494	408	LA	Study1
201	ALH63	7.156492666	0.809630917	458	LA	Study1
202	ALH64	6.517047959	0.740226144	447	LA	Study1
203	ALH65	6.860460326	0.796365803	392	LA	Study1
204	ALH66	7.272796234	0.819047024	471	LA	Study1
205	ALH67	7.572909967	0.83455939	539	LA	Study1
206	ALH68	6.684099319	0.751716364	475	LA	Study1
207	ALH69	7.053863465	0.812376813	411	LA	Study1
208	ALH7	6.95124488	0.793080059	435	LA	Study1
209	ALH70	5.546888761	0.660274773	338	LA	Study1
210	ALH71	6.799207302	0.795877558	373	LA	Study1
211	ALH72	6.013815456	0.734303331	292	LA	Study1
212	ALH73	6.53443925	0.753473105	408	LA	Study1
213	ALH74	6.586662493	0.77383152	365	LA	Study1
214	ALH75	6.454490941	0.771484862	330	LA	Study1
215	ALH76	7.245080936	0.818780615	461	LA	Study1
216	ALH77	6.715604708	0.77342035	411	LA	Study1
217	ALH78	6.372622146	0.729857897	425	LA	Study1
218	ALH79	6.295530776	0.735594917	377	LA	Study1
219	ALH8	6.320646934	0.751617683	340	LA	Study1
220	ALH80	6.91224758	0.788630787	435	LA	Study1
221	ALH81	7.391249691	0.841697634	440	LA	Study1
222	ALH82	6.587262204	0.76968198	377	LA	Study1
223	ALH83	7.070655125	0.808552256	429	LA	Study1
224	ALH84	6.622303662	0.783975188	349	LA	Study1
225	ALH85	7.246682611	0.829642075	426	LA	Study1
226	ALH86	6.977464893	0.793104494	445	LA	Study1
227	ALH87	6.982651986	0.815153857	379	LA	Study1
228	ALH88	6.700098939	0.759358503	453	LA	Study1
229	ALH89	6.071817969	0.717757202	352	LA	Study1
230	ALH9	7.125615814	0.796303463	494	LA	Study1
231	ALH90	5.398510304	0.66324421	282	LA	Study1
232	ALH91	4.296152995	0.535152379	261	LA	Study1
233	ALH92	6.661416144	0.771298561	398	LA	Study1
234	ALH93	6.94816891	0.777236685	491	LA	Study1
235	ALH94	6.194716043	0.728462251	363	LA	Study1
236	ALH95	7.317419788	0.830830579	448	LA	Study1
237	ALH96	6.836778266	0.784861691	419	LA	Study1
238	CHH1	6.327158768	0.746502804	356	HH	Study2
239	CHH10	7.342749759	0.830999085	457	HH	Study2
240	CHH11	5.686772187	0.723693808	232	HH	Study2
241	CHH12	7.21030739	0.81601022	457	HH	Study2
242	CHH13	7.510021084	0.841197117	487	HH	Study2
243	CHH14	6.197134221	0.72154385	385	HH	Study2
244	CHH15	6.91176534	0.787980806	437	HH	Study2
245	CHH16	7.526061173	0.860629408	429	HH	Study2
246	CHH17	5.381066204	0.660686556	283	HH	Study2
247	CHH18	6.734583586	0.8213235	294	HH	Study2
248	CHH19	7.394653402	0.82085941	515	HH	Study2
249	CHH2	7.448676612	0.841492069	462	HH	Study2
250	CHH20	5.78291203	0.718387681	265	HH	Study2
251	CHH3	6.353314782	0.761802044	324	HH	Study2
252	CHH4	5.911709509	0.703344439	339	HH	Study2
253	CHH5	6.080555098	0.725657063	333	HH	Study2
254	CHH6	7.145086786	0.810377686	451	HH	Study2
255	CHH7	6.884481961	0.788788348	424	HH	Study2
256	CHH8	6.740739798	0.784836857	385	HH	Study2
257	CHH9	6.744556579	0.781582785	396	HH	Study2
258	CHT1	7.320773637	0.826460752	464	HT	Study2
259	CHT10	6.331492891	0.736227565	388	HT	Study2
260	CHT11	6.875598756	0.793135307	407	HT	Study2
261	CHT12	7.025665194	0.791763052	469	HT	Study2
262	CHT13	5.69097053	0.681657185	326	HT	Study2
263	CHT14	5.672553735	0.681270855	321	HT	Study2
264	CHT15	5.953914258	0.709811873	335	HT	Study2
265	CHT16	5.912669936	0.684317398	399	HT	Study2
266	CHT17	6.655374885	0.756215269	446	HT	Study2
267	CHT18	7.622502066	0.843811041	524	HT	Study2
268	CHT19	7.455270678	0.830725013	503	HT	Study2
269	CHT2	6.582178315	0.752693354	429	HT	Study2
270	CHT20	6.719290313	0.792389673	357	HT	Study2
271	CHT3	7.260285396	0.814037081	484	HT	Study2
272	CHT4	6.369605148	0.755922741	344	HT	Study2
273	CHT5	5.624009871	0.67222009	330	HT	Study2
274	CHT6	7.193943787	0.806598733	484	HT	Study2
275	CHT7	6.840121438	0.782189984	429	HT	Study2
276	CHT8	7.74557317	0.853335962	540	HT	Study2
277	CHT9	7.435382235	0.828774022	502	HT	Study2
278	DHT1	7.824162864	0.850030136	590	HT	Study3
279	DHT10	6.042641753	0.697334969	406	HT	Study3
280	DHT11	6.794502469	0.768131831	460	HT	Study3
281	DHT12	7.184510877	0.798029379	513	HT	Study3
282	DHT13	6.95178505	0.78425531	466	HT	Study3
283	DHT14	6.956922665	0.787333977	457	HT	Study3
284	DHT15	7.245492062	0.805054674	512	HT	Study3
285	DHT16	7.35952917	0.812490163	533	HT	Study3
286	DHT17	7.190715151	0.808968709	474	HT	Study3
287	DHT18	7.501973351	0.827230871	537	HT	Study3
288	DHT19	6.211634408	0.738654494	340	HT	Study3
289	DHT2	7.119185428	0.795325549	495	HT	Study3
290	DHT20	7.167905043	0.806956331	472	HT	Study3
291	DHT21	5.054038748	0.610676991	310	HT	Study3
292	DHT22	7.620994085	0.834785609	560	HT	Study3
293	DHT23	6.163778948	0.710733008	408	HT	Study3
294	DHT24	7.564666033	0.834639334	535	HT	Study3
295	DHT25	7.319784051	0.813564303	511	HT	Study3
296	DHT26	7.04182126	0.788232046	489	HT	Study3
297	DHT27	7.749710685	0.846517166	570	HT	Study3
298	DHT28	7.26989441	0.806759635	516	HT	Study3
299	DHT29	7.285052953	0.801893958	543	HT	Study3
300	DHT3	6.926451171	0.78847343	441	HT	Study3
301	DHT30	7.417207175	0.821084895	524	HT	Study3
302	DHT31	6.520503164	0.74393596	435	HT	Study3
303	DHT32	6.991813477	0.7871321	472	HT	Study3
304	DHT33	6.833014086	0.778709961	438	HT	Study3
305	DHT34	6.37710895	0.724864094	445	HT	Study3
306	DHT35	6.914358258	0.78195932	459	HT	Study3
307	DHT36	7.149863953	0.80300526	479	HT	Study3
308	DHT37	7.536358417	0.846986886	477	HT	Study3
309	DHT38	7.577200104	0.831166544	555	HT	Study3
310	DHT39	7.538087821	0.836262558	517	HT	Study3
311	DHT4	5.610013274	0.656380315	374	HT	Study3
312	DHT40	7.218191394	0.804307771	503	HT	Study3
313	DHT41	6.660505094	0.768953559	405	HT	Study3
314	DHT42	6.708406174	0.767127918	429	HT	Study3
315	DHT43	6.864910755	0.781759429	440	HT	Study3
316	DHT44	7.260421435	0.813509688	486	HT	Study3
317	DHT45	7.008658693	0.791782354	462	HT	Study3
318	DHT46	6.925095737	0.794374028	421	HT	Study3
319	DHT47	7.355704938	0.808027286	550	HT	Study3
320	DHT48	7.256111366	0.820901015	458	HT	Study3
321	DHT49	6.411584035	0.731232807	436	HT	Study3
322	DHT5	7.315756407	0.827354281	459	HT	Study3
323	DHT50	7.088206229	0.806586803	442	HT	Study3
324	DHT51	6.900094804	0.767158513	510	HT	Study3
325	DHT52	6.106184631	0.715080345	372	HT	Study3
326	DHT53	7.04809546	0.789456849	487	HT	Study3
327	DHT54	7.4231554	0.818539738	537	HT	Study3
328	DHT55	7.329812493	0.822937299	480	HT	Study3
329	DHT56	7.450319469	0.822513389	533	HT	Study3
330	DHT57	6.184629937	0.7148992	402	HT	Study3
331	DHT58	6.656951165	0.754741054	452	HT	Study3
332	DHT59	7.189449006	0.793713356	533	HT	Study3
333	DHT6	7.4702734	0.830290583	511	HT	Study3
334	DHT60	6.856421061	0.781671241	437	HT	Study3
335	DHT61	7.225837308	0.818353817	455	HT	Study3
336	DHT62	7.811003661	0.857795096	551	HT	Study3
337	DHT63	7.199263599	0.799169744	515	HT	Study3
338	DHT64	6.923772141	0.783862601	456	HT	Study3
339	DHT65	7.066893676	0.796963069	467	HT	Study3
340	DHT7	6.261930398	0.714977256	433	HT	Study3
341	DHT8	7.448456006	0.827606223	512	HT	Study3
342	DHT9	5.58037557	0.635717309	439	HT	Study3
343	GLH10	4.96675258	0.618261055	262	LA	Study4
344	GLH12	6.323742397	0.747537504	352	LA	Study4
345	GLH13	7.064848959	0.812010564	416	LA	Study4
346	GLH15	6.873664843	0.821158945	331	LA	Study4
347	GLH16	3.617551727	0.494682022	159	LA	Study4
348	GLH17	6.837950231	0.785618794	417	LA	Study4
349	GLH18	7.062143321	0.810094683	421	LA	Study4
350	GLH21	7.188607882	0.814137442	455	LA	Study4
351	GLH22	6.007045406	0.726648181	308	LA	Study4
352	GLH23	7.263247709	0.821708367	458	LA	Study4
353	GLH24	6.613203819	0.764756937	401	LA	Study4
354	GLH25	7.310345116	0.824418103	467	LA	Study4
355	GLH26	7.31500068	0.824656134	468	LA	Study4
356	GLH27	5.444779957	0.699720892	220	LA	Study4
357	GLH28	5.949016874	0.745211282	253	LA	Study4
358	GLH29	7.05558794	0.801101807	448	LA	Study4
359	GLH30	5.218202089	0.680753217	203	LA	Study4
360	GLH31	6.760607197	0.789936301	377	LA	Study4
361	GLH32	6.190056421	0.744228609	319	LA	Study4
362	GLH33	7.105406402	0.807945236	444	LA	Study4
363	GLH34	5.677078957	0.726546958	225	LA	Study4
364	GLH35	5.987419725	0.746340714	260	LA	Study4
365	GLH36	6.595239658	0.786269202	335	LA	Study4
366	GLH37	5.944424853	0.735500524	271	LA	Study4
367	GLH38	5.5250814	0.704236621	230	LA	Study4
368	GLH39	6.520712244	0.786573874	313	LA	Study4
369	GLH40	5.635557929	0.716610445	233	LA	Study4
370	GLH41	7.190413755	0.818217283	442	LA	Study4
371	GLH43	7.177472039	0.82429953	418	LA	Study4
372	GLH44	6.212297056	0.750628767	310	LA	Study4
373	GLH45	6.804471192	0.781772355	417	LA	Study4
374	GLH46	5.857425232	0.754671979	217	LA	Study4
375	GLH47	7.045524006	0.802327229	440	LA	Study4
376	GLH48	5.831189497	0.701847803	317	LA	Study4
377	GLH49	5.38305461	0.700966021	205	LA	Study4
378	GLH50	5.739228297	0.686711646	328	LA	Study4
379	GLH51	3.825329571	0.541364462	134	LA	Study4
380	GLH52	4.338717376	0.565494897	204	LA	Study4
381	GLH53	3.755363098	0.521601945	147	LA	Study4
382	GLH55	5.989493705	0.756928784	241	LA	Study4
383	GLH56	4.789048061	0.642720759	175	LA	Study4
384	GLH57	5.40106328	0.702030602	207	LA	Study4
385	GLH58	5.246696624	0.635394234	306	LA	Study4
386	GLH59	7.015505257	0.798313956	442	LA	Study4
387	GLH61	4.502216392	0.577140644	223	LA	Study4
388	GLH62	7.435409469	0.834231099	482	LA	Study4
389	GLH63	5.715365977	0.717489424	250	LA	Study4
390	GLH64	7.78491452	0.852260914	562	LA	Study4
391	GLH65	7.347131075	0.82240715	489	LA	Study4
392	GLH66	5.619173948	0.668879251	338	LA	Study4
393	GLH68	7.513908378	0.850978972	455	LA	Study4
394	GLH69	7.222991896	0.817154132	458	LA	Study4
395	GLH7	7.153712809	0.824544518	409	LA	Study4
396	GLH71	6.743637758	0.793756218	361	LA	Study4
397	GLH73	5.179767074	0.678925804	198	LA	Study4
398	GLH74	7.355388636	0.83483671	449	LA	Study4
399	GLH76	7.379715637	0.841329818	437	LA	Study4
400	GLH77	6.502350353	0.780089483	323	LA	Study4
401	GLH79	7.447149869	0.843115884	456	LA	Study4
402	GLH8	5.897509075	0.751107689	231	LA	Study4
403	GLH80	5.104045924	0.641211644	249	LA	Study4
404	GLH81	7.137154566	0.807155823	459	LA	Study4
405	GLH82	6.779957326	0.76197742	477	LA	Study4
406	GLH84	7.051400856	0.806350468	429	LA	Study4
407	GLH85	6.894359081	0.782509849	449	LA	Study4
408	GLH87	7.12482676	0.806048478	458	LA	Study4
409	GLH88	7.327155367	0.829530919	456	LA	Study4
410	GLH89	5.38675351	0.641213048	338	LA	Study4
411	GLH90	7.550971523	0.836403428	522	LA	Study4
412	GLH91	7.078819404	0.826013848	380	LA	Study4
413	GLH92	6.47976767	0.747474177	407	LA	Study4
414	GLH94	7.22817907	0.834148744	406	LA	Study4
415	GLH95	7.082654933	0.805656205	443	LA	Study4
416	HHH1	6.705697605	0.759445999	455	HH	Study5
417	HHH10	7.719877064	0.849260901	545	HH	Study5
418	HHH11	6.806964098	0.786185936	404	HH	Study5
419	HHH12	3.999822033	0.531087431	185	HH	Study5
420	HHH13	5.445504543	0.643098514	354	HH	Study5
421	HHH14	7.134755275	0.815256739	431	HH	Study5
422	HHH15	6.506058274	0.800323751	280	HH	Study5
423	HHH16	7.199474614	0.80482028	493	HH	Study5
424	HHH17	6.138234827	0.735620464	325	HH	Study5
425	HHH18	6.162009502	0.732753364	340	HH	Study5
426	HHH19	6.142467799	0.77684998	240	HH	Study5
427	HHH2	6.4197421	0.742076493	402	HH	Study5
428	HHH20	6.643039529	0.757916355	435	HH	Study5
429	HHH21	7.027595432	0.812340012	402	HH	Study5
430	HHH22	7.22960524	0.806875411	498	HH	Study5
431	HHH23	4.827627847	0.676180842	141	HH	Study5
432	HHH24	6.153329403	0.733585685	335	HH	Study5
433	HHH25	6.375180238	0.701127297	546	HH	Study5
434	HHH26	6.880590437	0.777040396	463	HH	Study5
435	HHH27	6.565127279	0.77166029	364	HH	Study5
436	HHH28	6.984435863	0.817559388	373	HH	Study5
437	HHH29	6.984546003	0.806363996	405	HH	Study5
438	HHH3	6.519773668	0.744701022	432	HH	Study5
439	HHH30	6.596570007	0.769741091	380	HH	Study5
440	HHH31	5.377827731	0.676595277	247	HH	Study5
441	HHH32	5.256277028	0.667335202	235	HH	Study5
442	HHH33	6.186101592	0.75176059	300	HH	Study5
443	HHH34	6.16259535	0.69894599	451	HH	Study5
444	HHH35	5.428350345	0.708168618	203	HH	Study5
445	HHH4	5.103414578	0.691984718	166	HH	Study5
446	HHH5	6.606181098	0.746841731	460	HH	Study5
447	HHH6	6.849057594	0.768444141	482	HH	Study5
448	HHH7	7.234308572	0.807923829	496	HH	Study5
449	HHH8	2.76672367	0.407989516	110	HH	Study5
450	HHH9	7.733503281	0.857941615	517	HH	Study5
451	HHT1	6.630487852	0.763926845	410	HT	Study5
452	HHT10	6.3872934	0.745651775	379	HT	Study5
453	HHT11	7.209591317	0.817102034	453	HT	Study5
454	HHT12	7.313777461	0.826544143	461	HT	Study5
455	HHT13	5.769329709	0.69868702	306	HT	Study5
456	HHT14	7.198351897	0.807363087	483	HT	Study5
457	HHT15	8.022876741	0.875631312	573	HT	Study5
458	HHT16	7.305062858	0.83219397	439	HT	Study5
459	HHT17	6.945989906	0.788657885	448	HT	Study5
460	HHT18	7.487512568	0.828363721	526	HT	Study5
461	HHT19	7.213982737	0.818787139	449	HT	Study5
462	HHT2	6.475005983	0.742744473	421	HT	Study5
463	HHT20	6.493588152	0.740865178	435	HT	Study5
464	HHT21	6.497700866	0.748627889	410	HT	Study5
465	HHT22	7.5617514	0.83114143	548	HT	Study5
466	HHT23	5.514936039	0.688882673	257	HT	Study5
467	HHT24	5.897530466	0.74530683	241	HT	Study5
468	HHT25	6.035179193	0.778914427	215	HT	Study5
469	HHT26	7.620774997	0.849984202	500	HT	Study5
470	HHT27	7.031431548	0.815171446	395	HT	Study5
471	HHT28	7.711959727	0.839410492	583	HT	Study5
472	HHT29	5.970956318	0.707560563	347	HT	Study5
473	HHT3	6.80583517	0.790702218	390	HT	Study5
474	HHT30	7.76301145	0.852035545	553	HT	Study5
475	HHT31	6.976738248	0.816658347	373	HT	Study5
476	HHT32	8.018222674	0.883114281	541	HT	Study5
477	HHT33	7.497675105	0.830754478	521	HT	Study5
478	HHT34	6.626758749	0.742509576	486	HT	Study5
479	HHT4	5.632302098	0.744043531	190	HT	Study5
480	HHT5	6.492479982	0.757931243	379	HT	Study5
481	HHT6	7.119822516	0.782567312	548	HT	Study5
482	HHT7	6.836813444	0.785488188	417	HT	Study5
483	HHT8	4.035584035	0.559009535	149	HT	Study5
484	HHT9	6.370856005	0.754207794	349	HT	Study5
485	HLH1	5.89974187	0.746720836	239	LA	Study5
486	HLH10	5.782112003	0.730720696	241	LA	Study5
487	HLH11	6.043275622	0.737014282	294	LA	Study5
488	HLH12	7.220562431	0.833612031	405	LA	Study5
489	HLH13	5.408135252	0.699817666	212	LA	Study5
490	HLH14	7.605644944	0.84041682	530	LA	Study5
491	HLH15	6.014749589	0.755621624	249	LA	Study5
492	HLH16	5.254932922	0.705245475	175	LA	Study5
493	HLH17	4.328277527	0.613480405	133	LA	Study5
494	HLH18	5.532681081	0.743345839	174	LA	Study5
495	HLH19	6.212969031	0.765734097	277	LA	Study5
496	HLH2	6.355505506	0.775092618	294	LA	Study5
497	HLH20	5.22256546	0.713277349	160	LA	Study5
498	HLH21	6.340220892	0.762282838	319	LA	Study5
