	Axis1	Axis2	Group	Study
ALH75	0.032274834	-0.103193882	LA	Study1
ALH76	-0.010745727	-0.277494441	LA	Study1
ALH77	0.091075811	-0.040264091	LA	Study1
ALH78	-0.015072687	0.135434104	LA	Study1
ALH79	-0.086086685	0.192097168	LA	Study1
ALH8	-0.020760566	0.016385966	LA	Study1
ALH80	-0.010375401	0.078501015	LA	Study1
ALH81	-0.143263665	0.243905386	LA	Study1
ALH82	-0.055299931	0.171357482	LA	Study1
ALH83	-0.009133372	-0.275844771	LA	Study1
ALH84	0.019159472	-0.12065733	LA	Study1
ALH85	-0.006659139	0.124674312	LA	Study1
ALH86	0.000340205	-0.011943051	LA	Study1
ALH87	-0.005489558	0.009310484	LA	Study1
ALH88	0.036825406	0.139532636	LA	Study1
ALH89	-0.012683265	0.030273138	LA	Study1
ALH9	0.0703219	-0.042430214	LA	Study1
ALH90	0.009847244	0.076059245	LA	Study1
ALH91	-0.158503111	0.214615399	LA	Study1
ALH92	0.045562589	0.088890998	LA	Study1
ALH93	0.0208443	-0.034419644	LA	Study1
ALH94	-0.153852871	-0.059918329	LA	Study1
ALH95	0.013508966	0.056754571	LA	Study1
ALH96	-0.081707922	0.129970037	LA	Study1
CHH1	-0.024008613	0.199257991	HH	Study2
CHH10	0.126866435	-0.085651781	HH	Study2
CHH11	-0.33064547	0.128842147	HH	Study2
CHH12	0.133167018	0.068906401	HH	Study2
CHH13	0.062219365	-0.195343603	HH	Study2
CHH14	-0.020482263	-0.045049789	HH	Study2
CHH15	0.027356113	0.144859475	HH	Study2
CHH16	0.083637225	0.265712598	HH	Study2
CHH17	0.02077342	0.041812206	HH	Study2
CHH18	-0.058522863	0.026673272	HH	Study2
CHH19	0.111111604	-0.061500428	HH	Study2
CHH2	0.1034435	0.052065897	HH	Study2
CHH20	-0.197579232	0.00987214	HH	Study2
CHH3	-0.331521342	-0.072591231	HH	Study2
CHH4	-0.065361729	-0.099212882	HH	Study2
CHH5	0.034874231	0.082690974	HH	Study2
CHH6	0.13921497	-0.107975203	HH	Study2
CHH7	-0.145333419	0.208417495	HH	Study2
CHH8	0.11511134	-0.140950369	HH	Study2
CHH9	0.072799306	0.112321149	HH	Study2
CHT1	0.097498621	0.226631513	HT	Study2
CHT10	0.110167083	0.133287272	HT	Study2
CHT11	-0.097672852	-0.240618219	HT	Study2
CHT12	0.181148539	-0.161314337	HT	Study2
CHT13	-0.088216989	0.051870326	HT	Study2
CHT14	0.033307695	-0.193849961	HT	Study2
CHT15	-0.058388973	-0.219819271	HT	Study2
CHT16	0.068222338	-0.180694759	HT	Study2
CHT17	0.036406112	-0.244663037	HT	Study2
CHT18	0.083017733	0.176325454	HT	Study2
CHT19	-0.14546953	0.23532577	HT	Study2
CHT2	0.086460684	-0.04715309	HT	Study2
CHT20	0.161757708	-0.010753933	HT	Study2
CHT3	0.230323088	-0.169913308	HT	Study2
CHT4	-0.156131298	-0.118964315	HT	Study2
CHT5	-0.011342353	-0.206412106	HT	Study2
CHT6	0.12993934	-0.012611835	HT	Study2
CHT7	0.106666841	-0.054563388	HT	Study2
CHT8	0.012925532	0.132228981	HT	Study2
CHT9	0.078980209	0.04674417	HT	Study2
DHT1	0.170753334	-0.111427193	HT	Study3
DHT10	0.065713765	-0.076859992	HT	Study3
DHT11	0.132183879	-0.13591052	HT	Study3
DHT12	0.117920719	-0.177773112	HT	Study3
DHT13	0.112600701	-0.007029063	HT	Study3
DHT14	0.090142622	0.026972015	HT	Study3
DHT15	0.115988029	-0.024763166	HT	Study3
DHT16	0.160547337	-0.21639962	HT	Study3
DHT17	0.026931902	-0.225800609	HT	Study3
DHT18	0.142312175	0.115328734	HT	Study3
DHT19	-0.356308379	-0.072601455	HT	Study3
DHT2	0.088533146	-0.020995272	HT	Study3
DHT20	0.090467296	-0.296789495	HT	Study3
DHT21	-0.121465763	-0.067360087	HT	Study3
DHT22	0.091121478	-0.317455518	HT	Study3
DHT23	0.056697603	-0.292509869	HT	Study3
DHT24	0.113996782	-0.188808769	HT	Study3
DHT25	0.057623001	-0.329134896	HT	Study3
DHT26	0.129429691	-0.159048319	HT	Study3
DHT27	0.06489828	0.040658379	HT	Study3
DHT28	0.095038241	-0.213787351	HT	Study3
DHT29	0.121574974	-0.275770339	HT	Study3
DHT3	0.026813242	0.071325958	HT	Study3
DHT30	0.04746835	-0.329436878	HT	Study3
DHT31	0.07646631	0.046893881	HT	Study3
DHT32	0.106534579	-0.171550832	HT	Study3
DHT33	-0.051600337	-0.19017597	HT	Study3
DHT34	-0.00410457	0.066965564	HT	Study3
DHT35	0.070016128	0.16870403	HT	Study3
DHT36	0.104371528	0.127393818	HT	Study3
DHT37	0.145710449	-0.117833611	HT	Study3
DHT38	0.06855356	-0.079781131	HT	Study3
DHT39	0.154748154	0.115233247	HT	Study3
DHT4	-0.007524513	-0.017703322	HT	Study3
DHT40	0.037149067	-0.195483826	HT	Study3
DHT41	-0.069967217	-0.192360038	HT	Study3
DHT42	0.064230791	0.206019639	HT	Study3
DHT43	0.073862846	0.178876273	HT	Study3
DHT44	0.129305383	-0.182161489	HT	Study3
DHT45	0.119106767	-0.141773562	HT	Study3
DHT46	0.128826259	-0.034056105	HT	Study3
DHT47	0.090096374	-0.227651957	HT	Study3
DHT48	0.113302269	-0.023298572	HT	Study3
DHT49	0.047952175	-0.296966589	HT	Study3
DHT5	-0.004362313	0.015854295	HT	Study3
DHT50	-0.122528574	0.059073322	HT	Study3
DHT51	0.139294506	0.014682474	HT	Study3
DHT52	0.062938422	-0.294177461	HT	Study3
DHT53	-0.077028202	-0.210879655	HT	Study3
DHT54	0.074151164	-0.30194465	HT	Study3
DHT55	0.138104145	0.025318363	HT	Study3
DHT56	0.154355881	-0.086509704	HT	Study3
DHT57	-0.009248062	0.103523591	HT	Study3
DHT58	-0.121905799	0.016884078	HT	Study3
DHT59	0.11958333	-0.20297307	HT	Study3
DHT6	0.131445187	-0.192534326	HT	Study3
DHT60	0.068067856	-0.222855044	HT	Study3
DHT61	0.110455562	0.08362539	HT	Study3
DHT62	0.127011919	-0.139580518	HT	Study3
DHT63	0.025105699	0.062459388	HT	Study3
DHT64	0.062738229	-0.280318824	HT	Study3
DHT65	-0.01434205	-0.00175828	HT	Study3
DHT7	-0.013754669	-0.150140984	HT	Study3
DHT8	0.163201444	0.083815517	HT	Study3
DHT9	0.106596086	0.077230658	HT	Study3
GLH10	-0.078500414	0.1505345	LA	Study4
GLH12	-0.363029835	-0.033251772	LA	Study4
GLH13	0.025352421	-0.031005244	LA	Study4
GLH15	-0.171414636	-0.042637118	LA	Study4
GLH16	-0.030271372	0.110585285	LA	Study4
GLH17	0.135829373	0.113618451	LA	Study4
GLH18	0.132840242	0.070842844	LA	Study4
GLH21	0.153651077	0.10396472	LA	Study4
GLH22	0.003316715	0.12229848	LA	Study4
GLH23	0.123784853	0.28729413	LA	Study4
GLH24	0.136672657	0.212654052	LA	Study4
GLH25	0.099355782	0.156668833	LA	Study4
GLH26	0.049180684	0.09483448	LA	Study4
GLH27	-0.484227716	-0.103537733	LA	Study4
GLH28	-0.099174195	0.181241959	LA	Study4
GLH29	0.116960564	0.111213575	LA	Study4
GLH30	-0.021009711	0.038666822	LA	Study4
GLH31	-0.004257981	0.126655963	LA	Study4
GLH32	-0.336042441	-0.166604474	LA	Study4
GLH33	0.144278192	0.085183461	LA	Study4
GLH34	-0.468317694	-0.100371582	LA	Study4
GLH35	-0.419301951	-0.174519657	LA	Study4
GLH36	-0.043784535	-0.011141975	LA	Study4
GLH37	-0.434813778	-0.157924635	LA	Study4
GLH38	-0.128608011	0.088913865	LA	Study4
GLH39	-0.051878368	0.184855848	LA	Study4
GLH40	-0.159779967	0.109932388	LA	Study4
GLH41	0.169540142	0.190813428	LA	Study4
GLH43	0.031985343	0.183791523	LA	Study4
GLH44	-0.417152682	-0.093466059	LA	Study4
GLH45	-0.210781573	-0.075406733	LA	Study4
GLH46	-0.282292303	-0.062380925	LA	Study4
GLH47	0.053756992	-0.145802928	LA	Study4
GLH48	0.02227471	0.113263114	LA	Study4
GLH49	-0.128992836	0.017606417	LA	Study4
GLH50	-0.04553177	0.109018596	LA	Study4
GLH51	-0.232383586	0.16960313	LA	Study4
GLH52	-0.147476564	0.016442098	LA	Study4
GLH53	-0.14205089	0.069386053	LA	Study4
GLH55	-0.322001949	-0.091938102	LA	Study4
GLH56	-0.153922677	0.059984218	LA	Study4
GLH57	-0.314201569	-0.153610904	LA	Study4
GLH58	0.025194519	0.179788411	LA	Study4
GLH59	-0.071775857	-0.037699283	LA	Study4
GLH61	-0.20633548	0.039973033	LA	Study4
GLH62	-0.167264696	0.014735539	LA	Study4
GLH63	-0.061022707	0.225111548	LA	Study4
GLH64	0.157117117	-0.060920282	LA	Study4
GLH65	-0.122333962	0.076941179	LA	Study4
GLH66	-0.024115241	0.012764028	LA	Study4
GLH68	0.046621649	-0.116682674	LA	Study4
GLH69	0.144956963	0.214648388	LA	Study4
GLH7	0.053174519	0.053644409	LA	Study4
GLH71	0.056735819	0.223418562	LA	Study4
GLH73	-0.376251818	-0.087125594	LA	Study4
GLH74	0.024868571	-0.142617411	LA	Study4
GLH76	-0.121435755	0.11107062	LA	Study4
GLH77	-0.082068504	0.292763182	LA	Study4
GLH79	0.08961315	0.269561758	LA	Study4
GLH8	-0.216913868	0.095328768	LA	Study4
GLH80	-0.132681162	0.126246511	LA	Study4
GLH81	0.131351757	0.093275399	LA	Study4
GLH82	0.122131927	0.186261854	LA	Study4
GLH84	0.071220266	0.302677607	LA	Study4
GLH85	0.095438477	-0.074180164	LA	Study4
GLH87	0.076055068	-0.020289538	LA	Study4
GLH88	0.110926368	0.201675863	LA	Study4
GLH89	0.040397971	0.295382901	LA	Study4
GLH90	0.155757928	0.083954283	LA	Study4
GLH91	0.037344493	0.101547843	LA	Study4
GLH92	0.069285754	0.087052227	LA	Study4
GLH94	0.080067473	0.245481667	LA	Study4
GLH95	0.092220314	0.261836179	LA	Study4
HHH1	0.152902955	0.035897725	HH	Study5
HHH10	0.199291808	0.074284499	HH	Study5
HHH11	-0.005247894	-0.025633592	HH	Study5
HHH12	-0.319803493	-0.027299416	HH	Study5
HHH13	0.173010032	0.062713219	HH	Study5
HHH14	-0.176171584	-0.02515373	HH	Study5
HHH15	-0.047402586	0.10901068	HH	Study5
